,MatchID,MatchName,MatchNumber,MatchType,MatchVenue,MatchDate,MatchDateTime,MatchStarted,MatchEnded
0,cacf2d34-41b8-41dd-91ed-5183d880084c,Kolkata Knight Riders vs Royal Challengers Bengaluru,1,t20,"Eden Gardens, Kolkata",2025-03-22,2025-03-22 14:00:00,True,True
1,91b007f3-c0af-493f-808a-3f4ae2d66e33,Sunrisers Hyderabad vs Rajasthan Royals,2,t20,"Rajiv Gandhi International Stadium, Hyderabad",2025-03-23,2025-03-23 10:00:00,True,True
2,208d68e5-3fab-4f3b-88e9-29ec4a02d3e2,Chennai Super Kings vs Mumbai Indians,3,t20,"MA Chidambaram Stadium, Chennai",2025-03-23,2025-03-23 14:00:00,True,True
3,c6e97609-d9c1-46eb-805a-e282b34f3bb1,Delhi Capitals vs Lucknow Super Giants,4,t20,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2025-03-24,2025-03-24 14:00:00,True,True
4,83d70527-5fc4-4fad-8dd2-b88b385f379e,Gujarat Titans vs Punjab Kings,5,t20,"Narendra Modi Stadium, Ahmedabad",2025-03-25,2025-03-25 14:00:00,True,True
5,fd459f45-6e79-42c5-84e4-d046f291cacf,Rajasthan Royals vs Kolkata Knight Riders,6,t20,"Barsapara Cricket Stadium, Guwahati",2025-03-26,2025-03-26 14:00:00,True,True
6,ab4e0813-1e78-467e-aca0-d80c5cfe7dbd,Sunrisers Hyderabad vs Lucknow Super Giants,7,t20,"Rajiv Gandhi International Stadium, Hyderabad",2025-03-27,2025-03-27 14:00:00,True,True
7,7431523f-7ccb-4a4a-aed7-5c42fc08464c,Chennai Super Kings vs Royal Challengers Bengaluru,8,t20,"MA Chidambaram Stadium, Chennai",2025-03-28,2025-03-28 14:00:00,True,True
8,f5ed540f-15c7-4189-a5d4-e54be746a522,Gujarat Titans vs Mumbai Indians,9,t20,"Narendra Modi Stadium, Ahmedabad",2025-03-29,2025-03-29 14:00:00,True,True
9,af5cf1dd-b3d4-4e8d-8660-e5e27cd5202e,Delhi Capitals vs Sunrisers Hyderabad,10,t20,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2025-03-30,2025-03-30 10:00:00,True,True
10,057ce3fb-8117-47fe-bf25-be0ed8a56dd0,Rajasthan Royals vs Chennai Super Kings,11,t20,"Barsapara Cricket Stadium, Guwahati",2025-03-30,2025-03-30 14:00:00,True,True
11,075649ef-6ca8-4f50-8143-87814b828ea0,Mumbai Indians vs Kolkata Knight Riders,12,t20,"Wankhede Stadium, Mumbai",2025-03-31,2025-03-31 14:00:00,True,True
12,7896feec-8fd6-44ef-aee3-eabb679e6305,Lucknow Super Giants vs Punjab Kings,13,t20,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-01,2025-04-01 14:00:00,True,True
13,64e88ffc-606f-4d4f-b848-310f1ec7a98a,Royal Challengers Bengaluru vs Gujarat Titans,14,t20,"M.Chinnaswamy Stadium, Bengaluru",2025-04-02,2025-04-02 14:00:00,True,True
14,d5915da0-c08b-4122-bcb0-2c2e1e6e168a,Kolkata Knight Riders vs Sunrisers Hyderabad,15,t20,"Eden Gardens, Kolkata",2025-04-03,2025-04-03 14:00:00,True,True
15,5dc7a22f-5057-4895-bb98-965d9a1f004e,Lucknow Super Giants vs Mumbai Indians,16,t20,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-04,2025-04-04 14:00:00,True,True
16,f5dabb5b-a934-4666-a368-7134e991f569,Chennai Super Kings vs Delhi Capitals,17,t20,"MA Chidambaram Stadium, Chennai",2025-04-05,2025-04-05 10:00:00,True,True
17,b2e603ab-96f7-4711-ac9f-6a78e742237d,Punjab Kings vs Rajasthan Royals,18,t20,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-05,2025-04-05 14:00:00,True,True
