,id,name,role,battingStyle,bowlingStyle,country,playerImg
0,367b54a9-80a5-40f6-bed6-086bbcd90899,Karun Nair,Batsman,Right Handed Bat,Right-arm offbreak,India,https://h.cricapi.com/img/players/367b54a9-80a5-40f6-bed6-086bbcd90899.jpg
1,a3f40660-ccd6-4360-81ac-237f7fe09926,Madhav Tiwari,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium,India,https://h.cricapi.com/img/icon512.png
2,3ec5f8da-2054-4ebb-b9be-2668ddc45e66,Sameer Rizvi ,Batsman,Right Handed Bat,Right-arm offbreak,India,https://h.cricapi.com/img/icon512.png
3,670ae8ac-4fe9-4f0c-84ee-320b13039f34,Axar Patel,Bowling Allrounder,Left Handed Bat,Left-arm orthodox,India,https://h.cricapi.com/img/players/670ae8ac-4fe9-4f0c-84ee-320b13039f34.jpg
4,bceb7084-1dda-4d76-b691-43c5a29d39a7,Mitchell Starc,Bowler,Left Handed Bat,Left-arm fast,Australia,https://h.cricapi.com/img/players/bceb7084-1dda-4d76-b691-43c5a29d39a7.jpg
5,8199e3da-acb4-4bac-ab02-47d7ca004ed2,Abishek Porel,WK-Batsman,Left Handed Bat,,India,https://h.cricapi.com/img/icon512.png
6,17d274f9-aacf-4c47-80b4-4f60ffe8dbe9,Jake Fraser-McGurk,Batsman,Right Handed Bat,Right-arm legbreak,Australia,https://h.cricapi.com/img/icon512.png
7,cd5a9124-db0b-4cf8-b541-4f8830e02c0c,Ashutosh Sharma,Batting Allrounder,Right Handed Bat,Right-arm medium,India,https://h.cricapi.com/img/icon512.png
8,2216baac-0af9-4282-a726-50086e830b4b,Manvanth Kumar L,Bowling Allrounder,Left Handed Bat,Right-arm fast-medium,India,https://h.cricapi.com/img/icon512.png
9,87e87390-b14f-455b-8526-5eaa19735aed,Harry Brook,Batsman,Right Handed Bat,Right-arm medium,England,https://h.cricapi.com/img/players/87e87390-b14f-455b-8526-5eaa19735aed.jpg
10,014ba4b1-423c-49d3-a6f5-68e6bb90835e,Ajay Jadav Mandal,Bowling Allrounder,Left Handed Bat,Left-arm orthodox,India,https://h.cricapi.com/img/icon512.png
11,75fb3972-0436-40ee-bf45-73b1dba7b53e,Dushmantha Chameera,Bowler,Right Handed Bat,Right-arm fast,Sri Lanka,https://h.cricapi.com/img/players/75fb3972-0436-40ee-bf45-73b1dba7b53e.jpg
12,de19a93e-06df-4597-9186-7a53c1613552,Tristan Stubbs,WK-Batsman,Right Handed Bat,Right-arm offbreak,South Africa,https://h.cricapi.com/img/icon512.png
13,3791ce5c-78b6-4f08-859a-838115287f40,Mohit Sharma,Bowler,Right Handed Bat,Right-arm fast-medium,India,https://h.cricapi.com/img/icon512.png
14,1e651cfb-57f1-48da-bf9d-83cbff1733d1,Kuldeep Yadav,Bowler,Left Handed Bat,Left-arm wrist-spin,India,https://h.cricapi.com/img/players/1e651cfb-57f1-48da-bf9d-83cbff1733d1.jpg
15,a034346c-b408-4d29-a0f0-8b12430be28e,KL Rahul,WK-Batsman,Right Handed Bat,,India,https://h.cricapi.com/img/players/a034346c-b408-4d29-a0f0-8b12430be28e.jpg
16,29c70b54-732c-4439-9232-8d3a0a53a36c,Darshan Nalkande,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium,India,https://h.cricapi.com/img/icon512.png
17,116e2bfb-6a97-4221-8006-8e7da70b0715,Mukesh Kumar,Bowler,Right Handed Bat,Right-arm fast-medium,India,https://h.cricapi.com/img/icon512.png
18,c4d4fc79-efb2-4e26-a575-94c6fc419bf9,Tripurana Vijay,Batting Allrounder,Right Handed Bat,Right-arm offbreak,India,https://h.cricapi.com/img/icon512.png
19,6d4e7d4a-4fae-4958-bc15-a063c09508eb,Vipraj Nigam,Bowler,Right Handed Bat,Right-arm legbreak,India,https://h.cricapi.com/img/icon512.png
20,d8826d0d-ef95-4dce-a47a-b09b97f49f07,T Natarajan,Bowler,Left Handed Bat,Left-arm fast-medium,India,https://h.cricapi.com/img/players/d8826d0d-ef95-4dce-a47a-b09b97f49f07.jpg
21,3f9ced2d-d71a-4478-93db-d7260c7145ee,Donovan Ferreira,WK-Batsman,Right Handed Bat,Right-arm offbreak,South Africa,https://h.cricapi.com/img/icon512.png
22,e5912efa-da10-4342-981c-f5ae32794672,Faf du Plessis,Batsman,Right Handed Bat,Right-arm legbreak,South Africa,https://h.cricapi.com/img/players/e5912efa-da10-4342-981c-f5ae32794672.jpg
