,id,name,role,battingStyle,bowlingStyle,country,playerImg
0,306f6b88-0442-476a-be55-1500b3441051,Manish Pandey,Batsman,Right Handed Bat,Right-arm medium,India,https://h.cricapi.com/img/players/306f6b88-0442-476a-be55-1500b3441051.jpg
1,eb4eb084-70b6-4209-a2b8-1959768d93f7,Luvnith Sisodia,WK-Batsman,Left Handed Bat,Left-arm medium,India,https://h.cricapi.com/img/icon512.png
2,702254aa-2764-4fe4-b28e-20336a0ab069,Varun Chakaravarthy,Bowler,Right Handed Bat,Right-arm legbreak,India,https://h.cricapi.com/img/players/702254aa-2764-4fe4-b28e-20336a0ab069.jpg
3,c06c697c-9575-4bb0-b1f0-27a56a2f3898,Mayank Markande,Bowler,Right Handed Bat,Right-arm legbreak,India,https://h.cricapi.com/img/players/c06c697c-9575-4bb0-b1f0-27a56a2f3898.jpg
4,effbb8f2-affa-4d18-93c5-285b243f88d0,Andre Russell,Bowling Allrounder,Right Handed Bat,Right-arm fast,West Indies,https://h.cricapi.com/img/players/effbb8f2-affa-4d18-93c5-285b243f88d0.jpg
5,225ae9ea-dba6-456d-a64b-2dbd7476c8f0,Harshit Rana,Bowler,Right Handed Bat,Right-arm fast-medium,India,https://h.cricapi.com/img/icon512.png
6,b367db88-a73e-445f-8cdd-3f6335617b07,Umran Malik,Bowler,Right Handed Bat,Right-arm fast,India,https://h.cricapi.com/img/players/b367db88-a73e-445f-8cdd-3f6335617b07.jpg
7,cdc2646c-1fe7-4bc2-b26e-42453f45a212,Ajinkya Rahane,Batsman,Right Handed Bat,Right-arm medium,India,https://h.cricapi.com/img/players/cdc2646c-1fe7-4bc2-b26e-42453f45a212.jpg
8,3c89df94-f39c-4c51-8e64-441c73c32c78,Angkrish Raghuvanshi,Batsman,Right Handed Bat,Right-arm offbreak,India,https://h.cricapi.com/img/icon512.png
9,82de5824-b29b-4737-9e9d-44f5796ef227,Vaibhav Arora,Bowler,Right Handed Bat,Right-arm fast-medium,India,https://h.cricapi.com/img/icon512.png
10,ef2e9c01-41f2-4349-a945-45d8b11dbd19,Sunil Narine,Bowling Allrounder,Left Handed Bat,Right-arm offbreak,West Indies,https://h.cricapi.com/img/players/ef2e9c01-41f2-4349-a945-45d8b11dbd19.jpg
11,11864f31-b766-4766-9cbc-5026015ace48,Rinku Singh,Batsman,Left Handed Bat,Right-arm offbreak,India,https://h.cricapi.com/img/players/11864f31-b766-4766-9cbc-5026015ace48.jpg
12,3187d301-269d-4823-b895-66d652ddefca,Ramandeep Singh ,Batting Allrounder,Right Handed Bat,Right-arm medium,India,https://h.cricapi.com/img/icon512.png
13,9f06f450-c300-4b49-9359-7876f492f686,Moeen Ali,Batting Allrounder,Left Handed Bat,Right-arm offbreak,England,https://h.cricapi.com/img/players/9f06f450-c300-4b49-9359-7876f492f686.jpg
14,c699ec2b-a5f6-4ee0-a42d-79391b65b293,Rovman Powell,Batsman,Right Handed Bat,Right-arm fast-medium,West Indies,https://h.cricapi.com/img/players/c699ec2b-a5f6-4ee0-a42d-79391b65b293.jpg
15,a8c7ce67-5862-4acb-9297-97eafd0ea3d5,Anrich Nortje,Bowler,Right Handed Bat,Right-arm fast,South Africa,https://h.cricapi.com/img/players/a8c7ce67-5862-4acb-9297-97eafd0ea3d5.jpg
16,c3236037-6694-404a-8f01-9ad880564ea9,Venkatesh Iyer,Batting Allrounder,Left Handed Bat,Right-arm medium,India,https://h.cricapi.com/img/players/c3236037-6694-404a-8f01-9ad880564ea9.jpg
17,0284af4f-d4eb-4894-bacc-a468c1020951,Spencer Johnson,Bowler,Left Handed Bat,Left-arm fast,Australia,https://h.cricapi.com/img/icon512.png
18,000f9f7c-cc24-4a85-8638-b013b0f4760e,Quinton de Kock,WK-Batsman,Left Handed Bat,,South Africa,https://h.cricapi.com/img/players/000f9f7c-cc24-4a85-8638-b013b0f4760e.jpg
19,00fee12c-63aa-43ed-a1ed-cd156a2e26bc,Rahmanullah Gurbaz,WK-Batsman,Right Handed Bat,Right-arm medium,Afghanistan,https://h.cricapi.com/img/players/00fee12c-63aa-43ed-a1ed-cd156a2e26bc.jpg
20,2958faf6-f7d1-4150-aa9e-e261a629ba0d,Anukul Roy,Batting Allrounder,Left Handed Bat,Left-arm orthodox,India,https://h.cricapi.com/img/players/2958faf6-f7d1-4150-aa9e-e261a629ba0d.jpg
