,id,name,role,battingStyle,bowlingStyle,country,playerImg
0,151d6979-05d3-4c1f-ae30-0e58af0e8613,Ayush Badoni,Batting Allrounder,Right Handed Bat,Right-arm offbreak,India,https://h.cricapi.com/img/icon512.png
1,6eaac800-13e7-4a07-8ee2-14acd04cc53f,Mitchell Marsh,Batting Allrounder,Right Handed Bat,Right-arm fast-medium,Australia,https://h.cricapi.com/img/players/6eaac800-13e7-4a07-8ee2-14acd04cc53f.jpg
2,9a71201c-c377-45aa-a355-1af6d2c4bae3,Ravi Bishnoi,Bowler,Right Handed Bat,Right-arm legbreak,India,https://h.cricapi.com/img/players/9a71201c-c377-45aa-a355-1af6d2c4bae3.jpg
3,4d066db8-b202-45a4-8408-28b335c5a767,RS Hangargekar,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium,India,https://h.cricapi.com/img/players/4d066db8-b202-45a4-8408-28b335c5a767.jpg
4,58b0c809-0fdf-44bf-ad68-3e6e0c71aee5,Aryan Juyal,WK-Batsman,Right Handed Bat,Right-arm offbreak,India,https://h.cricapi.com/img/players/58b0c809-0fdf-44bf-ad68-3e6e0c71aee5.jpg
5,3fef81b0-c1e9-45eb-954f-519f3b33d640,Aiden Markram,Batsman,Right Handed Bat,Right-arm offbreak,South Africa,https://h.cricapi.com/img/players/3fef81b0-c1e9-45eb-954f-519f3b33d640.jpg
6,865326f2-3524-478d-9816-5d43158edc7d,Akash Singh,WK-Batsman,Right Handed Bat,Right-arm legbreak,India,https://h.cricapi.com/img/icon512.png
7,63075eff-1f66-4bf7-923f-5f92ee123283,Manimaran Siddharth,Bowler,Right Handed Bat,Left-arm orthodox,India,https://h.cricapi.com/img/icon512.png
8,96b0aa6a-d886-4c50-a968-63e5ec31ed0d,Akash Deep,Bowler,Right Handed Bat,Right-arm fast-medium,India,https://h.cricapi.com/img/icon512.png
9,0a4bb087-ec55-4131-89a1-70f14153dbd9,Mohsin Khan,Bowler,Left Handed Bat,Left-arm fast-medium,India,https://h.cricapi.com/img/icon512.png
10,dd665f5d-04e8-436b-b376-8fd2a9b8bf8a,Abdul Samad,Batting Allrounder,Right Handed Bat,Right-arm legbreak,India,https://h.cricapi.com/img/players/dd665f5d-04e8-436b-b376-8fd2a9b8bf8a.jpg
11,080ef27d-d01c-4420-9c06-9123796e233a,Yuvraj Chaudhary,Batting Allrounder,Left Handed Bat,Left-arm orthodox,India,https://h.cricapi.com/img/icon512.png
12,eaea0d44-195d-49c6-b76b-987e8d1af290,Arshin Kulkarni,Batting Allrounder,Right Handed Bat,Right-arm fast-medium,India,https://h.cricapi.com/img/icon512.png
13,332200ad-d1f8-4035-95c5-b33bd1c9a939,Avesh Khan,Bowler,Right Handed Bat,Right-arm fast,India,https://h.cricapi.com/img/players/332200ad-d1f8-4035-95c5-b33bd1c9a939.jpg
14,28e1fbef-db2b-48f2-a47d-b6db51dda3c6,Digvesh,--,Left Handed Bat,,India,https://h.cricapi.com/img/icon512.png
15,95bbca5a-f097-43dc-9a47-bdb85f02fb1a,Mayank Yadav,Bowler,Right Handed Bat,Right-arm fast,India,https://h.cricapi.com/img/icon512.png
16,a67a5fef-c1d6-4264-a6a6-c1984489bd36,Prince Yadav,Bowler,Right Handed Bat,Right-arm fast,India,https://h.cricapi.com/img/icon512.png
17,0528c7f4-51e4-44d9-b723-cc9eac02a955,Himmat Singh,Batsman,Right Handed Bat,Right-arm offbreak,India,https://h.cricapi.com/img/icon512.png
18,2f50df2f-809d-44f9-b5be-ccb846515861,David Miller,Batsman,Left Handed Bat,Right-arm offbreak,South Africa,https://h.cricapi.com/img/players/2f50df2f-809d-44f9-b5be-ccb846515861.jpg
19,4e8ab9cd-c5af-430e-887b-d22bf74ad052,Nicholas Pooran,WK-Batsman,Left Handed Bat,Right-arm offbreak,West Indies,https://h.cricapi.com/img/players/4e8ab9cd-c5af-430e-887b-d22bf74ad052.jpg
20,b7f8b3f5-1759-43fe-914f-d9dc7f4269e2,Matthew Breetzke,WK-Batsman,Right Handed Bat,,South Africa,https://h.cricapi.com/img/players/b7f8b3f5-1759-43fe-914f-d9dc7f4269e2.jpg
21,2a90b6a9-ac87-49d2-947a-db688f5fcb4c,Shamar Joseph,Bowler,Left Handed Bat,Right-arm fast,West Indies,https://h.cricapi.com/img/icon512.png
22,8f4c667c-4bb2-4808-a77b-ebece70f4273,Shahbaz Ahmed,Bowling Allrounder,Left Handed Bat,Left-arm orthodox,India,https://h.cricapi.com/img/players/8f4c667c-4bb2-4808-a77b-ebece70f4273.jpg
23,a52b2d20-7c98-4238-9ba4-ec78419a5cc2,Rishabh Pant,WK-Batsman,Left Handed Bat,,India,https://h.cricapi.com/img/players/a52b2d20-7c98-4238-9ba4-ec78419a5cc2.jpg
