,id,name,role,battingStyle,bowlingStyle,country,playerImg
0,03bda674-3916-4d64-952e-00a6c19c01e1,Rohit Sharma,Batsman,Right Handed Bat,Right-arm offbreak,India,https://h.cricapi.com/img/players/03bda674-3916-4d64-952e-00a6c19c01e1.jpg
1,c510fbe6-8a16-47e4-ab60-0965720241af,Will Jacks,Batting Allrounder,Right Handed Bat,Right-arm offbreak,England,https://h.cricapi.com/img/icon512.png
2,6004fd3f-2264-470d-b39f-340d530b19b3,Trent Boult,Bowler,Right Handed Bat,Left-arm fast-medium,New Zealand,https://h.cricapi.com/img/players/6004fd3f-2264-470d-b39f-340d530b19b3.jpg
3,aefd9074-da5a-408d-94f1-3be0e79d3b82,Tilak Varma,Batsman,Left Handed Bat,Right-arm offbreak,India,https://h.cricapi.com/img/players/aefd9074-da5a-408d-94f1-3be0e79d3b82.jpg
4,e1dbe0b6-1662-4a8b-80aa-5ed066ddc0fe,Krishnan Shrijith,WK-Batsman,Left Handed Bat,,India,https://h.cricapi.com/img/icon512.png
5,a6686871-5bcd-4aae-8bfc-8298f878b6a9,Ryan Rickelton,WK-Batsman,Left Handed Bat,,South Africa,https://h.cricapi.com/img/icon512.png
6,cb665f43-1f13-4ae8-acd9-8695ea5fbf9f,Karn Sharma,Bowler,Left Handed Bat,Right-arm legbreak,India,https://h.cricapi.com/img/players/cb665f43-1f13-4ae8-acd9-8695ea5fbf9f.jpg
7,915fed39-1b6a-4bb0-b7ef-88ee2f4152fd,Lizaad Williams,Bowler,Left Handed Bat,Right-arm fast-medium,South Africa,https://h.cricapi.com/img/players/915fed39-1b6a-4bb0-b7ef-88ee2f4152fd.jpg
8,9f98de11-7764-4394-93e3-89f8c05ad378,Satyanarayana Raju,Bowler,Right Handed Bat,Right-arm fast-medium,India,https://h.cricapi.com/img/icon512.png
9,a90b2371-5c53-4c29-a382-9b52d40a7548,Hardik Pandya,Batting Allrounder,Right Handed Bat,Right-arm fast-medium,India,https://h.cricapi.com/img/players/a90b2371-5c53-4c29-a382-9b52d40a7548.jpg
10,c8864ac7-af66-4719-8100-9dd9fd7e60f3,Mujeeb Ur Rahman,Bowler,Right Handed Bat,Right-arm offbreak,Afghanistan,https://h.cricapi.com/img/players/c8864ac7-af66-4719-8100-9dd9fd7e60f3.jpg
11,b64ccf20-292a-4834-b3d7-9de55187f44a,Raj Bawa,Batting Allrounder,Left Handed Bat,Right-arm fast-medium,India,https://h.cricapi.com/img/players/b64ccf20-292a-4834-b3d7-9de55187f44a.jpg
12,6ceed869-d2b7-4707-b6fd-cb84419cda12,Arjun Tendulkar,Bowling Allrounder,Left Handed Bat,Left-arm fast-medium,India,https://h.cricapi.com/img/players/6ceed869-d2b7-4707-b6fd-cb84419cda12.jpg
13,7e9dc8b1-c44c-44f1-8663-cc42bad7709b,Reece Topley,Bowler,Right Handed Bat,Left-arm fast-medium,England,https://h.cricapi.com/img/players/7e9dc8b1-c44c-44f1-8663-cc42bad7709b.jpg
14,16ec245b-022d-4104-bd8f-ccc780428390,Mitchell Santner,Bowling Allrounder,Left Handed Bat,Left-arm orthodox,New Zealand,https://h.cricapi.com/img/players/16ec245b-022d-4104-bd8f-ccc780428390.jpg
15,237a1ef2-1eae-4877-8b94-d20d84faf635,Deepak Chahar,Bowler,Right Handed Bat,Right-arm fast-medium,India,https://h.cricapi.com/img/players/237a1ef2-1eae-4877-8b94-d20d84faf635.jpg
16,21ffa053-b03d-4270-a49f-d3e2db9dfde7,Robin Minz,WK-Batsman,Left Handed Bat,Right-arm offbreak,India,https://h.cricapi.com/img/icon512.png
17,71add5ac-55f9-4eb7-9e0c-d51208ae20c0,Naman Dhir,Batsman,Right Handed Bat,Right-arm offbreak,India,https://h.cricapi.com/img/icon512.png
18,8c579447-bfbd-4cf6-a283-db4dc1d5ac33,Suryakumar Yadav,Batsman,Right Handed Bat,Right-arm offbreak,India,https://h.cricapi.com/img/players/8c579447-bfbd-4cf6-a283-db4dc1d5ac33.jpg
19,6602d875-cf56-46a3-866c-de80aaa006bc,Jasprit Bumrah,Bowler,Right Handed Bat,Right-arm fast,India,https://h.cricapi.com/img/players/6602d875-cf56-46a3-866c-de80aaa006bc.jpg
20,0e2b638b-e356-41bf-b986-f0f0f84bad38,Vignesh Puthur,Bowler,Right Handed Bat,Left-arm wrist-spin,India,https://h.cricapi.com/img/icon512.png
21,af485f9b-d446-41ab-a644-f1a69f0eb600,Ashwani Kumar,Bowler,Left Handed Bat,Left-arm fast-medium,India,https://h.cricapi.com/img/icon512.png
22,0485d865-4d05-4d4f-a5ba-f64c9380ee7d,Bevon Jacobs,Batting Allrounder,Right Handed Bat,Right-arm fast-medium,New Zealand,https://h.cricapi.com/img/icon512.png
