,id,name,role,battingStyle,bowlingStyle,country,playerImg
0,607ff10c-5619-411d-a822-06ba28992230,Arshdeep Singh,Bowler,Left Handed Bat,Left-arm fast-medium,India,https://h.cricapi.com/img/players/607ff10c-5619-411d-a822-06ba28992230.jpg
1,e08d06c3-c7ef-4f44-9152-07023efb020c,Vishnu Vinod,WK-Batsman,Right Handed Bat,,India,https://h.cricapi.com/img/icon512.png
2,4ad2ef53-de91-4ac2-a50a-0cde29e69177,Glenn Maxwell,Batting Allrounder,Right Handed Bat,Right-arm offbreak,Australia,https://h.cricapi.com/img/players/4ad2ef53-de91-4ac2-a50a-0cde29e69177.jpg
3,0d704a13-518a-40a7-bb93-0fc0d92af9e2,Yuzvendra Chahal,Bowler,Right Handed Bat,Right-arm legbreak,India,https://h.cricapi.com/img/players/0d704a13-518a-40a7-bb93-0fc0d92af9e2.jpg
4,c040878f-3995-444c-a0f2-10a456f6c84d,Josh Inglis,WK-Batsman,Right Handed Bat,,Australia,https://h.cricapi.com/img/players/c040878f-3995-444c-a0f2-10a456f6c84d.jpg
5,d3c53885-7016-4228-8a20-1dd98214489d,Marco Jansen,Bowling Allrounder,Right Handed Bat,Left-arm fast,South Africa,https://h.cricapi.com/img/players/d3c53885-7016-4228-8a20-1dd98214489d.jpg
6,9713a0a1-b885-4221-9812-23b0b73c6657,Nehal Wadhera,Batsman,Left Handed Bat,Right-arm legbreak,India,https://h.cricapi.com/img/icon512.png
7,cba19be9-7aec-4083-ba61-26f0aee31721,Xavier Bartlett,Bowler,Right Handed Bat,Right-arm fast-medium,Australia,https://h.cricapi.com/img/players/cba19be9-7aec-4083-ba61-26f0aee31721.jpg
8,604d7c88-4f5d-40d9-b08b-330420964d87,Lockie Ferguson,Bowler,Right Handed Bat,Right-arm fast,New Zealand,https://h.cricapi.com/img/players/604d7c88-4f5d-40d9-b08b-330420964d87.jpg
9,eff809fc-9841-4825-a89f-381db15ad0a2,Vijaykumar Vyshak,Bowler,Right Handed Bat,Right-arm medium,India,https://h.cricapi.com/img/icon512.png
10,36046273-fe8c-4fb0-9d18-3ff978a7d399,Aaron Hardie,Batting Allrounder,Right Handed Bat,Right-arm fast-medium,Australia,https://h.cricapi.com/img/players/36046273-fe8c-4fb0-9d18-3ff978a7d399.jpg
11,4ff68cf3-d3a7-489f-bf37-4ac233f41a15,Priyansh Arya,Batsman,Left Handed Bat,Right-arm offbreak,India,https://h.cricapi.com/img/icon512.png
12,56ec7d07-d0d8-4d25-84df-64b0b3ce963d,Harnoor Singh,Batsman,Left Handed Bat,Right-arm legbreak,India,https://h.cricapi.com/img/players/56ec7d07-d0d8-4d25-84df-64b0b3ce963d.jpg
13,9d412bea-6a7e-4655-8c8b-68f2d9900d98,Musheer Khan,Batting Allrounder,Right Handed Bat,Left-arm orthodox,India,https://h.cricapi.com/img/icon512.png
14,c510dc77-7e6b-482c-a96d-73ef9398e969,Suryansh Shedge,Batting Allrounder,Right Handed Bat,Right-arm fast-medium,India,https://h.cricapi.com/img/icon512.png
15,a15dfada-704c-42c3-9545-91c332ffca73,Prabhsimran Singh,WK-Batsman,Right Handed Bat,,India,https://h.cricapi.com/img/players/a15dfada-704c-42c3-9545-91c332ffca73.jpg
16,0e81bac3-02c3-4219-840a-9b49d937678d,Pyla Avinash,Batsman,Right Handed Bat,Right-arm fast-medium,India,https://h.cricapi.com/img/icon512.png
17,11beb0e3-9594-4304-b770-9f65b52a5ff9,Praveen Dubey,Bowling Allrounder,Right Handed Bat,Right-arm legbreak,India,https://h.cricapi.com/img/players/11beb0e3-9594-4304-b770-9f65b52a5ff9.jpg
18,e3005322-b01a-4c58-9b26-a2ca150ad1d1,Harpreet Brar,Bowler,Left Handed Bat,Left-arm orthodox,India,https://h.cricapi.com/img/players/e3005322-b01a-4c58-9b26-a2ca150ad1d1.jpg
19,f291cb07-d04b-4f71-b9a0-ad1043b76c84,Yash Thakur,Bowler,Right Handed Bat,Right-arm fast-medium,India,https://h.cricapi.com/img/icon512.png
20,b43c2877-2cb4-41f5-951d-bc006eb4f6c0,Kuldeep Sen,Bowler,Right Handed Bat,Right-arm fast,India,https://h.cricapi.com/img/icon512.png
21,11340697-6443-4c3e-ab27-d9d30ba95671,Marcus Stoinis,Batting Allrounder,Right Handed Bat,Right-arm medium,Australia,https://h.cricapi.com/img/players/11340697-6443-4c3e-ab27-d9d30ba95671.jpg
22,9d6cb002-6b9f-4795-a9bf-ea1a6e27ed08,Shashank Singh,Batting Allrounder,Right Handed Bat,Right-arm medium,India,https://h.cricapi.com/img/icon512.png
23,7c341a4c-d3fa-4054-b95d-f75f94eee00c,Azmatullah Omarzai,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium,Afghanistan,https://h.cricapi.com/img/players/7c341a4c-d3fa-4054-b95d-f75f94eee00c.jpg
24,77791963-6c1b-4979-b07a-f910dee28cd9,Shreyas Iyer,Batsman,Right Handed Bat,Right-arm legbreak,India,https://h.cricapi.com/img/players/77791963-6c1b-4979-b07a-f910dee28cd9.jpg
