,id,name,role,battingStyle,bowlingStyle,country,playerImg
0,7d662361-8f12-4a52-9a4b-01e8734bd31d,Heinrich Klaasen,WK-Batsman,Right Handed Bat,Right-arm offbreak,South Africa,https://h.cricapi.com/img/players/7d662361-8f12-4a52-9a4b-01e8734bd31d.jpg
1,7aa19b4a-48ef-4d17-bef7-1e71f7829cb5,Eshan Malinga,Bowler,Left Handed Bat,Right-arm fast-medium,Sri Lanka,https://h.cricapi.com/img/icon512.png
2,5bf98798-b2b0-47d2-b799-5307c0fd4936,Nitish Kumar Reddy,Batting Allrounder,Right Handed Bat,Right-arm fast-medium,India,https://h.cricapi.com/img/icon512.png
3,15bccb4f-8c3c-4da6-acd9-551782278bfd,Harshal Patel,Bowler,Right Handed Bat,Right-arm fast-medium,India,https://h.cricapi.com/img/players/15bccb4f-8c3c-4da6-acd9-551782278bfd.jpg
4,c8299338-660f-4870-a9bc-57359242411c,Abhinav Manohar,Batsman,Right Handed Bat,Right-arm legbreak,India,https://h.cricapi.com/img/icon512.png
5,11d06633-aa20-469c-8fbb-676a1ae33eed,Mohammed Shami,Bowler,Right Handed Bat,Right-arm fast,India,https://h.cricapi.com/img/players/11d06633-aa20-469c-8fbb-676a1ae33eed.jpg
6,196f622e-e1ae-4962-95b5-81324e26c5fe,Aniket Verma,Batsman,Right Handed Bat,Right-arm medium,India,https://h.cricapi.com/img/icon512.png
7,d774adaf-78f0-4bf3-965e-8182c05b4517,Rahul Chahar,Bowler,Right Handed Bat,Right-arm legbreak,India,https://h.cricapi.com/img/players/d774adaf-78f0-4bf3-965e-8182c05b4517.jpg
8,b4cc5506-212f-4d6b-825d-8ec89e1e084a,Kamindu Mendis,Batting Allrounder,Left Handed Bat,Right-arm offbreak,Sri Lanka,https://h.cricapi.com/img/icon512.png
9,83fe6ab6-d63c-420e-9416-a93d59a9a964,Abhishek Sharma,Batting Allrounder,Left Handed Bat,Left-arm orthodox,India,https://h.cricapi.com/img/players/83fe6ab6-d63c-420e-9416-a93d59a9a964.jpg
10,ae028205-72ab-445a-a6e1-addf52de00c2,Atharva Taide,Batsman,Left Handed Bat,Left-arm orthodox,India,https://h.cricapi.com/img/icon512.png
11,1971093d-b87b-43db-8b1d-b2dcc8e68617,Adam Zampa,Bowler,Right Handed Bat,Right-arm legbreak,Australia,https://h.cricapi.com/img/players/1971093d-b87b-43db-8b1d-b2dcc8e68617.jpg
12,97516c64-d681-4705-9f26-be5b74a0f5a8,Sachin Baby,Batsman,Left Handed Bat,Right-arm offbreak,India,https://h.cricapi.com/img/icon512.png
13,60610403-b20d-41b5-a1f9-ca5981d192e1,Simarjeet Singh,Bowler,Right Handed Bat,Right-arm fast-medium,India,https://h.cricapi.com/img/icon512.png
14,13b3d56e-0fba-4d31-a174-d211211404e2,Pat Cummins,Bowler,Right Handed Bat,Right-arm fast,Australia,https://h.cricapi.com/img/players/13b3d56e-0fba-4d31-a174-d211211404e2.jpg
15,d6720897-e81d-4703-bf33-d2b60c973d30,Travis Head,Batsman,Left Handed Bat,Right-arm offbreak,Australia,https://h.cricapi.com/img/players/d6720897-e81d-4703-bf33-d2b60c973d30.jpg
16,d50e7092-dc22-4854-84d3-e08ccba038e9,Brydon Carse,Bowler,Right Handed Bat,Right-arm fast,England,https://h.cricapi.com/img/icon512.png
17,f589d2a9-4e44-464d-9741-e224354a1370,Jaydev Unadkat,Bowler,Right Handed Bat,Left-arm fast-medium,India,https://h.cricapi.com/img/players/f589d2a9-4e44-464d-9741-e224354a1370.jpg
18,9ae68636-48d9-488f-8adc-e62a19815d85,Ishan Kishan,WK-Batsman,Left Handed Bat,,India,https://h.cricapi.com/img/players/9ae68636-48d9-488f-8adc-e62a19815d85.jpg
19,f183c67e-0b7c-44e5-8ab7-fe1e0be672f3,Zeeshan Ansari,Bowler,Right Handed Bat,Right-arm legbreak,India,https://h.cricapi.com/img/icon512.png
